Student_ID,Section,Year_Level,Gender,Attendance,Quiz_Avg,Lab_Avg,Midterm,Final,GWA,Risk_Level
STU0001,C,2,Female,98.0,93.0,70.0,89.0,75.0,83.4,Low Risk
STU0002,C,1,Female,88.0,92.0,,88.0,96.0,88.2,Low Risk
STU0003,C,3,Female,74.0,82.0,92.0,65.0,81.0,78.7,Medium Risk
STU0004,D,4,Male,67.0,83.0,68.0,94.0,88.0,82.4,Low Risk
STU0005,A,4,Male,80.0,96.0,65.0,100.0,73.0,83.45,Low Risk
STU0006,C,2,Female,98.0,94.0,75.0,96.0,87.0,89.35,Low Risk
STU0007,C,4,Male,78.0,99.0,88.0,83.0,64.0,81.95,Low Risk
STU0008,B,3,Male,82.0,81.0,62.0,88.0,89.0,81.05,Low Risk
STU0009,A,4,Male,70.0,86.0,79.0,90.0,64.0,78.5,Medium Risk
STU0010,D,3,Male,70.0,94.0,95.0,94.0,71.0,86.05,Low Risk
STU0011,B,1,Female,83.0,60.0,78.0,92.0,75.0,77.65,Medium Risk
STU0012,C,1,Male,95.0,94.0,85.0,80.0,85.0,86.55,Low Risk
STU0013,B,3,Female,99.0,96.0,62.0,91.0,85.0,85.5,Low Risk
STU0014,B,2,Female,83.0,73.0,78.0,82.0,80.0,79.0,Medium Risk
STU0015,C,4,Male,62.0,62.0,79.0,92.0,98.0,81.9,Low Risk
STU0016,A,2,Female,81.0,60.0,91.0,62.0,95.0,77.55,Medium Risk
STU0017,A,4,Male,,64.0,66.0,77.0,92.0,74.35,Medium Risk
STU0018,B,1,Male,83.0,85.0,100.0,84.0,89.0,88.55,Low Risk
STU0019,C,1,Male,89.0,73.0,92.0,90.0,96.0,88.4,Low Risk
STU0020,D,1,Female,97.0,98.0,99.0,62.0,82.0,85.1,Low Risk
STU0021,B,4,Female,61.0,86.0,98.0,99.0,69.0,84.9,Low Risk
STU0022,D,1,Female,80.0,68.0,77.0,83.0,64.0,73.75,Medium Risk
STU0023,B,1,Male,92.0,74.0,99.0,91.0,,90.3,Low Risk
STU0024,B,1,Male,71.0,74.0,60.0,81.0,93.0,77.4,Medium Risk
STU0025,C,1,Male,81.0,85.0,70.0,82.0,90.0,82.1,Low Risk
STU0026,C,2,Female,84.0,,87.0,61.0,69.0,72.7,Medium Risk
STU0027,D,1,Male,86.0,91.0,84.0,86.0,78.0,84.6,Low Risk
STU0028,D,1,Male,87.0,98.0,82.0,61.0,91.0,82.7,Low Risk
STU0029,A,2,Female,75.0,91.0,90.0,85.0,60.0,79.95,Medium Risk
STU0030,C,2,Female,74.0,63.0,89.0,76.0,64.0,72.8,Medium Risk
STU0031,B,4,Female,62.0,89.0,94.0,99.0,63.0,83.3,Low Risk
STU0032,B,3,Male,96.0,96.0,66.0,92.0,75.0,83.75,Low Risk
STU0033,A,1,Male,66.0,82.0,75.0,68.0,,75.75,Medium Risk
STU0034,C,1,Male,80.0,,85.0,98.0,75.0,87.85,Low Risk
STU0035,B,1,Female,68.0,74.0,61.0,88.0,61.0,71.05,Medium Risk
STU0036,A,4,Female,98.0,88.0,60.0,,87.0,82.4,Low Risk
STU0037,A,1,Female,77.0,95.0,71.0,94.0,91.0,87.15,Low Risk
STU0038,B,3,Female,63.0,72.0,64.0,84.0,86.0,76.0,Medium Risk
STU0039,B,2,Male,84.0,91.0,96.0,83.0,79.0,86.3,Low Risk
STU0040,D,4,Male,73.0,66.0,91.0,72.0,83.0,77.45,Medium Risk
STU0041,C,2,Male,68.0,81.0,68.0,66.0,71.0,70.85,Medium Risk
STU0042,D,1,Male,85.0,87.0,100.0,95.0,94.0,93.15,Low Risk
STU0043,A,1,Male,61.0,61.0,,79.0,92.0,79.85,Medium Risk
STU0044,B,1,Male,79.0,65.0,78.0,60.0,92.0,74.5,Medium Risk
STU0045,D,3,Male,87.0,,75.0,67.0,96.0,81.85,Low Risk
STU0046,A,3,Male,66.0,87.0,62.0,75.0,71.0,72.9,Medium Risk
STU0047,C,4,Female,67.0,79.0,79.0,73.0,62.0,72.05,Medium Risk
STU0048,B,2,Female,94.0,89.0,83.0,71.0,60.0,76.55,Medium Risk
STU0049,D,1,Male,73.0,70.0,92.0,82.0,92.0,83.2,Low Risk
STU0050,C,1,Female,76.0,87.0,83.0,74.0,99.0,84.85,Low Risk
STU0051,D,1,Male,95.0,84.0,70.0,87.0,69.0,79.3,Medium Risk
STU0052,A,1,Male,99.0,98.0,67.0,93.0,88.0,88.15,Low Risk
STU0053,C,3,Female,63.0,92.0,95.0,61.0,72.0,76.95,Medium Risk
STU0054,D,2,Male,61.0,60.0,97.0,91.0,71.0,78.0,Medium Risk
STU0055,C,2,Male,65.0,86.0,99.0,82.0,90.0,86.5,Low Risk
STU0056,A,4,Male,63.0,72.0,79.0,81.0,61.0,72.0,Medium Risk
STU0057,C,3,Male,88.0,100.0,94.0,84.0,94.0,92.1,Low Risk
STU0058,D,1,Male,77.0,62.0,84.0,81.0,82.0,77.65,Medium Risk
STU0059,A,2,Male,85.0,98.0,94.0,81.0,76.0,86.15,Low Risk
